CustomerID,Country,Orders,Revenue,Avg_Order_Value
0,Bahrain,1,205.74,205.74
0,EIRE,28,17908.06,639.57
0,France,3,691.0600000000001,230.35
0,Hong Kong,11,15691.800000000001,1426.53
0,Israel,3,913.57,304.52
0,Portugal,1,307.21,307.21
0,Switzerland,3,645.95,215.32
0,United Kingdom,1373,1716830.53,1250.42
0,Unspecified,5,2082.72,416.54
12346,United Kingdom,1,77183.6,77183.6
12347,Iceland,7,4310.0,615.71
12348,Finland,4,1797.24,449.31
12349,Italy,1,1757.55,1757.55
12350,Norway,1,334.4,334.4
12352,Norway,8,2506.04,313.26
12353,Bahrain,1,89.0,89.0
12354,Spain,1,1079.4,1079.4
12355,Bahrain,1,459.4,459.4
12356,Portugal,3,2811.43,937.14
12357,Switzerland,1,6207.67,6207.67
12358,Austria,2,1168.06,584.03
12359,Cyprus,4,6372.58,1593.14
12360,Austria,3,2662.06,887.35
12361,Belgium,1,189.9,189.9
12362,Belgium,10,5226.23,522.62
12363,Unspecified,2,552.0,276.0
12364,Belgium,4,1313.1,328.28
12365,Cyprus,2,641.38,320.69
12367,Denmark,1,168.9,168.9
12370,Austria,1,277.2,277.2
12370,Cyprus,3,3268.49,1089.5
12371,Switzerland,2,1887.96,943.98
12372,Denmark,3,1298.04,432.68
12373,Austria,1,364.6,364.6
12374,Austria,1,742.9300000000001,742.93
12375,Finland,2,457.5,228.75
12377,Switzerland,2,1628.12,814.06
12378,Switzerland,1,4008.62,4008.62
12379,Belgium,2,852.24,426.12
12380,Belgium,4,2724.81,681.2
12381,Norway,5,1845.31,369.06
12383,Belgium,5,1850.56,370.11
12384,Switzerland,2,585.27,292.64
12386,Australia,2,401.9,200.95
12388,Australia,6,2780.66,463.44
12390,Belgium,1,549.84,549.84
12391,Cyprus,1,460.89,460.89
12393,Australia,4,1582.6000000000001,395.65
12394,Belgium,1,381.08,381.08
12394,Denmark,1,891.4,891.4
12395,Belgium,12,3018.63,251.55
12397,Belgium,2,2409.9,1204.95
12398,Switzerland,1,1635.6599999999999,1635.66
12399,Belgium,4,1108.65,277.16
12401,Belgium,1,84.3,84.3
12402,Belgium,1,225.6,225.6
12403,Denmark,1,427.7,427.7
12405,Finland,1,1710.39,1710.39
12406,Denmark,2,3415.3,1707.65
12407,Belgium,5,1708.1200000000001,341.62
12408,Belgium,5,2888.55,577.71
12409,Switzerland,3,11072.67,3690.89
12410,Switzerland,2,693.3299999999999,346.66
12412,Denmark,3,1226.88,408.96
12413,France,3,758.1,252.7
12414,Austria,3,562.41,187.47
12415,Australia,21,124914.53,5948.31
12417,Belgium,8,3212.8,401.6
